RNA-seq sample ID	PO ID	PO term description (TISSUE)	Age (days)/ Development stage	Description	
SRR7135736	PO:0009089	endosperm	cotelydon dev stage	YN171 cultivar	
SRR8138197	PO:0000055	bud	bolting dev stage	Young bud. Shaan2A cultivar.	
SRR9944815	PO:0025034	leaf	11 days	Biological replicate 2	
SRR9944819	PO:0025034	leaf	9 days	Biological replicate 1	
SRR9944835	PO:0025034	leaf	11 days	Biological replicate 1	
SRR9944851	PO:0020030	cotyledon	7 days	Biological replicate 1	
SRR9944854	PO:0025029	top shoot	7 days	Biological replicate 1	
SRR8328128	PO:0006473	anther	prophase 1 dev stage	Yudal cultivar. Biological replicate plant_7. Haploid genotype.	
SRR8328131	PO:0006473	anther	prophase 1 dev stage	Darmor-bzh cultivar. Biological replicate plant_3. Haploid genotype.	
SRR7895220	PO:0001185	globular seed		Topas cultivar	
SRR7895226	PO:0001185	globular seed		Topas cultivar	
ERR3280982	PO:0009006	shoot system	"10 days, seedling dev stage"	Samples were collected on days one and five post-infection with P. aeruginosa. The whole plant was sectioned in two at the root junction before the RNA was extracted. DNA was removed from all of the RNA samples using the DNA-free kit (Invitrogenª). Total RNA (1_g) was used for preparing the library with TrueSeq RNA sample Prep Kit v2 (Illumina¨) according to manufacturerÕs guidelines with 24 different barcodes (two biological replicates).	
SRR8476612	PO:0020107	fruit	maturation dev stage	Transgene -positive cultivar. Biological replicate 3.	
SRR8477020	PO:0009047	stem	grey moss period14 dev stage	Cultivar 14	
SRR8477032	PO:0009047	stem 	grey moss period8 dev stage	Cultivar 8	
SRR9037424	PO:0008037	seedling aerial			
SRR8398868	PO:0000055	bud	age not collected; flowering dev stage	Cultivar 160s. Temperature of 18. Male fertile.	
SRR7637975	PO:0025034	leaf	6-week-old rapesees	Strain 4F5-2	
SRR7637977	PO:0025034	leaf	6-week-old rapesees	Strain 4BM1-1	
SRR8245086			"planting date=12-02-17\, harvest date=28-03-17"	Treatment: No Si (silicon)	
SRR8245092	PO:0003006	root	"planting date=12-02-17\, harvest date=28-03-17"	Treatment: No Si (silicon)	
SRR8283966	PO:0020142	internode	flowering dev stage	Sca mutant cultivar. Biological replicate 1.	
SRR8283968	PO:0020142	internode	flowering dev stage	Huashuang5 cultivar. Biological replicate 2.	
SRR7880325	PO:0020107	fruit			
SRR7880337	PO:0020107	fruit			
SRR8371848	PO:0006473	anther	bolting dev stage	KC01 cultivar. Tissue sample 4.	
SRR8371852	PO:0006473	anther	bolting dev stage	KC01 cultivar. Tissue sample 6.	
SRR7814571	PO:0003006	root	"30 days after planting, rosette dev stage"	30 day old roots of winter-biotype canola Regal. Plants grown at 25C and under light for 14 hr. Regal cultivar.	
SRR7814572	PO:0003006	root	"30 days after planting, rosette dev stage"	30 day old roots of winter-biotype canola Wester. Plants grown at 25C and under light for 14 hr. Wester cultivar.	
SRR7814579	PO:0003006	root	"60 days after planting, rosette dev stage"	60 day old roots of winter-biotype canola Regal. Plants grown at 25C and under light for 14 hr. Regal cultivar.	
SRR7816635	PO:0009047	stem	"10 DAP, reproductive growth dev stage"	Darmor cultivar	
SRR7816638	PO:0025034	leaf	"10 DAP, reproductive growth dev stage"	Darmor cultivar	
SRR7814561	PO:0003006	root	"60 days after planting, rosette dev stage"	60 day old roots of winter-biotype canola Lindora. Plants grown at 25C and under light for 14 hr. Lindora cultivar.	
SRR7764350	PO:0025034	leaf	21 days	Replicate 3. Control treatment. Sentry summer rape cultivar.	
SRR7764355	PO:0025034	leaf	21 days	Replicate 3. Drought treatment. Sentry summer rape cultivar.	
SRR7764358	PO:0025034	leaf	21 days	Replicate 3. Cold treatment. Sentry summer rape cultivar.	
SRR5208533	PO:0006473	anther	prophase 1 dev stage	Yudal cultivar. Biological replicate plant_10. Euploid genotype.	
SRR5208538	PO:0006473	anther	prophase 1 dev stage	Darmor-bzh cultivar. Biological replicate plant_5. Euploid genotype.	
SRR5208539	PO:0006473	anther	prophase 1 dev stage	Darmor-bzh cultivar. Biological replicate plant_4. Euploid genotype.	
SRR5208540	PO:0006473	anther	prophase 1 dev stage	Darmor-bzh cultivar. Biological replicate plant_4. Euploid genotype.	
SRR6466850	PO:0025034	leaf	30 days (a month)	Resynthesized B. napus cultivar	
SRR6466863	PO:0025034	leaf	30 days (a month)	Resynthesized B. napus cultivar	
SRR6466871	PO:0025034	leaf	30 days (a month)	Resynthesized B. napus cultivar	
SRR6466875	PO:0025034	leaf	30 days (a month)	Resynthesized B. napus cultivar	
SRR6467496	PO:0025034	leaf	"21 days, 3 leaves dev stage"	Introgression Line cultivar	
